item,name,positionItem,position,start,end
Q112133569,Eucario Bacale Angue,Q112174446,"Finance, Taxes and Contributions",2013,
Q112175226,Montserrat Afang Ondo,Q112174446,"Finance, Economy and Planning",2018,
Q112175246,Valentin Ela Maye,Q112174446,"Finance, the Economy and Planning",2020,
Q100786539,Teresa Efua Asangono,Q112174447,Delegate of Foreign Affairs and Cooperation,1998,
Q55200319,Jose Esono Micha,Q112174447,"Foreign Affairs, International Cooperation and Francophone Affairs",2003,
Q112175230,Pedro Ela Nguema Buna,Q112174447,Foreign Affairs and Cooperation,2012,
Q112175230,Pedro Ela Nguema Buna,Q112174447,Foreign Affairs and Cooperation,2013,
Q112175145,Bonifacio Mitogo Edjang,Q112174447,Foreign Affairs and Cooperation,2018,
Q7193770,Pilar Buepoyo Boseka,Q112174448,Delegate of Health and Social Welfare,1998,
Q112133279,Tomas Mecheba Fernandez Galilea,Q112174448,Health and Social Welfare,2003,
Q112133279,Tomás Mecheba Fernández,Q112174448,Health,2011,
Q112054486,Diosdado-Vicente Nsue Milang,Q112174448,Health and Social Welfare,2012,
Q112175225,Miguel Obiang Abeso,Q112174448,Health and Social Welfare,2013,
Q112133443,Pedro Cristino Bueriberi,Q112174449,"Delegate of Industry, Commerce and Small and Medium Enterprises",1998,
Q112128514,Mariano Esono Ondo,Q112174449,"Industry, Commerce and the Promotion of Small and Medium-sized Enterpri",2003,
Q112128551,Alfonso Nsué Mokuy,Q112174450,Information,2011,
Q112163017,Teobaldo Nchaso Matomba,Q112174450,"Information, Press and Radio",2012,
Q112133397,Federico Abaga Ondó,Q112174450,"Information, Press and Radio",2013,
Q112175180,Gen. Jaime Obama Owono Nchama,Q112174451,Infrastructure and Forests,2003,
Q112162972,Clemente Engonga Andeme,Q112174452,Delegate of Interior and Local Corporations,1998,
Q112162972,Clemente Engonga Andeme,Q112174452,Delegate of Interior and Local Corporations,1999,
,Manuel Nguema Mba,Q112174452,Interior and Local Corporations,2003,
Q112175203,Leocadio Ndong Moñung,Q112174452,Interior and Local Corporations,2012,
Q112175203,Leocadio Ndong Moñung,Q112174452,Interior and Local Corporations,2013,
Q112162984,Fidel Nsue Micha,Q112174452,Interior and Local Corporations,2018,
Q112162984,Fidel Nsue Micha,Q112174452,Interior and Local Corporations,2020,
Q42907516,Evangelina Filomena Oyo Ebule,Q112174453,Delegate of Justice and Religious Affairs,1998,
Q42907516,Evangelina Filomena Oyo Ebule,Q112174453,Delegate of Justice and Religious Affairs,1999,
Q112175244,Secundino Oyono Awong Ada,Q112174453,Justice and Religion,2003,
Q112175201,Juan Oló Mba Nseng,Q112174453,"Justice, Religion and Penitentiary Services",2012,
Q112175201,Juan Oló Mba Nseng,Q112174453,"Justice, Religion and Penitentiary Services",2013,
Q112175200,Juan Olo Mba Nseng,Q112174453,"Justice, Worship and Penitentiary Institutions",2018,
Q112175200,Juan Olo Mba Nseng,Q112174453,"Justice, Worship and Penitentiary Institutions",2020,
,Francisco Abaga Ndong,Q112174454,Delegate of Labour and Social Security,1998,
Q112175244,Secundino Oyono Awong Ada,Q112174454,Delegate to Labour and Social Security,2001,
Q112175185,Heriberto Miko Mbengono,Q112174454,Labour and Social Security,2012,
Q112175196,José-Angel Borico Moises,Q112174454,Labour and Social Security,2013,
Q112133375,Alfredo Mitogo Mitogo Ada,Q112174454,"Labour, Promotion of Employment and Social Security",2018,
Q45042829,Gabriel Mbega Obiang Lima,Q112174455,"Mines, Industry and Energy",2010,
Q45042829,Gabriel Mbega Obiang Lima,Q112174455,"Mines, Industry and Energy",2011,
Q112175218,Melanio Ebendeng Nsono,Q112174456,Delegate of National Defence,1998,
Q112175218,Melanio Ebendeng Nsono,Q112174456,Delegate of National Defence,1999,
Q112175218,Melanio Ebendeng Nsono,Q112174456,Delegate to the National Defence,2001,
